Year,Annual_Total,Prev_Year,YoY_Growth_Pct
1999,368916.0,,
2000,39401465.0,368916.0,10580.3
2001,90262148.0,39401465.0,129.1
2002,102443564.0,90262148.0,13.5
2003,112647474.0,102443564.0,10.0
2004,122512169.0,112647474.0,8.8
2005,128401322.0,122512169.0,4.8
2006,135151161.0,128401322.0,5.3
2007,142886057.0,135151161.0,5.7
2008,149585563.0,142886057.0,4.7
2009,151521764.0,149585563.0,1.3
2010,153078770.0,151521764.0,1.0
2011,158806049.0,153078770.0,3.7
2012,174454146.22656,158806049.0,9.9
2013,176058278.0,174454146.22656,0.9
2014,167818336.0,176058278.0,-4.7
2015,118160480.5244787,167818336.0,-29.6
2016,133952890.0,118160480.5244787,13.4
2017,140152161.0,133952890.0,4.6
2018,104275362.0,140152161.0,-25.6
2019,97150096.0,104275362.0,-6.8
2020,31874166.0,97150096.0,-67.2
2021,45691914.0,31874166.0,43.4
2022,98330683.0,45691914.0,115.2
2023,129030158.0,98330683.0,31.2
2024,135885336.0,129030158.0,5.3
2025,23320511.0,135885336.0,-82.8
